iter	Passed	Remaining
0	1	1491
1	2	1376
2	4	1497
3	6	1622
4	8	1635
5	9	1582
6	10	1545
7	12	1490
8	13	1458
9	14	1432
10	15	1420
11	16	1394
12	18	1376
13	19	1366
14	20	1351
15	21	1340
16	23	1338
17	24	1333
18	25	1329
19	27	1325
20	28	1330
21	29	1325
22	30	1316
23	32	1311
24	33	1306
25	34	1303
26	36	1302
27	37	1304
28	38	1303
29	40	1298
30	41	1295
31	42	1290
32	43	1285
33	44	1277
34	46	1273
35	47	1267
36	48	1265
37	49	1260
38	51	1256
39	52	1254
40	53	1251
41	54	1250
42	56	1250
43	57	1251
44	58	1247
45	59	1244
46	61	1240
47	62	1235
48	63	1231
49	64	1227
50	66	1229
51	67	1228
52	68	1227
53	69	1224
54	71	1220
55	72	1220
56	73	1223
57	75	1219
58	76	1217
59	77	1215
60	78	1213
61	80	1210
62	81	1208
63	82	1206
64	83	1204
65	84	1201
66	86	1198
67	87	1196
68	88	1196
69	90	1195
70	91	1192
71	92	1191
72	93	1189
73	94	1187
74	96	1186
75	97	1185
76	98	1183
77	99	1181
78	101	1180
79	102	1177
80	103	1175
81	104	1172
82	105	1170
83	107	1168
84	108	1164
85	109	1163
86	110	1160
87	111	1159
88	113	1157
89	114	1154
90	115	1152
91	116	1149
92	117	1146
93	118	1145
94	120	1144
95	121	1144
96	122	1143
97	124	1141
98	125	1140
99	126	1140
100	127	1139
101	129	1137
102	130	1136
103	131	1136
104	133	1135
105	134	1134
106	135	1132
107	136	1129
108	138	1129
109	139	1127
110	140	1125
111	141	1124
112	143	1122
113	144	1120
114	145	1120
115	147	1120
116	148	1119
117	149	1118
118	150	1116
119	152	1115
120	153	1116
121	154	1115
122	156	1112
123	157	1110
124	158	1109
125	159	1107
126	161	1107
127	162	1105
128	163	1104
129	164	1102
130	165	1100
131	167	1098
132	168	1096
133	169	1095
134	170	1094
135	172	1094
136	173	1092
137	174	1090
138	175	1089
139	177	1087
140	178	1085
141	179	1083
142	180	1083
143	182	1082
144	183	1081
145	184	1080
146	185	1079
147	187	1077
148	188	1075
149	189	1074
150	190	1072
151	191	1070
152	193	1068
153	194	1067
154	195	1065
155	196	1063
156	197	1061
157	198	1060
158	200	1059
159	201	1059
160	203	1059
161	204	1056
162	205	1055
163	206	1054
164	207	1051
165	209	1050
166	210	1049
167	211	1048
168	213	1047
169	214	1046
170	215	1044
171	216	1044
172	218	1043
173	219	1042
174	220	1041
175	222	1039
176	223	1037
177	224	1035
178	225	1034
179	226	1032
180	227	1031
181	229	1029
182	230	1027
183	231	1026
184	232	1025
185	234	1024
186	235	1023
187	236	1022
188	237	1021
189	239	1020
190	240	1018
191	241	1016
192	242	1015
193	244	1013
194	245	1012
195	246	1010
196	247	1008
197	248	1007
198	249	1006
199	251	1005
200	252	1003
201	253	1002
202	255	1001
203	256	1000
204	257	999
205	259	999
206	260	997
207	261	996
208	263	995
209	264	993
210	265	993
211	267	993
212	268	991
213	269	990
214	271	989
215	272	988
216	273	987
217	274	985
218	275	983
219	277	982
220	278	981
221	279	979
222	280	977
223	281	976
224	283	975
225	284	974
226	285	972
227	286	971
228	288	970
229	289	969
230	290	966
231	291	965
232	292	964
233	294	964
234	295	963
235	297	962
236	298	960
237	299	959
238	300	958
239	302	956
240	303	956
241	304	955
242	306	953
243	307	952
244	308	950
245	309	949
246	310	947
247	312	946
248	313	946
249	315	945
250	316	945
251	318	944
252	319	943
253	320	942
254	321	940
255	323	939
256	324	938
257	325	937
258	327	936
259	328	935
260	329	933
261	331	933
262	332	931
263	333	930
264	335	929
265	336	929
266	338	928
267	339	926
268	340	925
269	342	924
270	343	923
271	344	922
272	346	921
273	347	920
274	348	919
275	350	918
276	351	917
277	352	916
278	354	914
279	355	913
280	356	912
281	357	911
282	359	909
283	360	908
284	361	906
285	362	905
286	363	903
287	364	901
288	366	900
289	367	899
290	368	898
291	369	896
292	371	895
293	372	894
294	373	893
295	375	891
296	376	890
297	377	889
298	378	888
299	380	887
300	381	886
301	382	885
302	384	884
303	385	882
304	386	881
305	387	879
306	389	878
307	390	877
308	392	877
309	393	875
310	394	874
311	396	873
312	397	872
313	398	871
314	400	869
315	401	868
316	402	866
317	403	865
318	405	864
319	406	863
320	407	862
321	408	861
322	410	859
323	411	859
324	413	857
325	414	856
326	415	855
327	416	854
328	418	852
329	419	851
330	420	850
331	422	849
332	423	848
333	425	847
334	426	846
335	427	845
336	428	843
337	430	842
338	431	840
339	432	839
340	433	838
341	435	836
342	436	835
343	437	834
344	439	833
345	440	832
346	441	830
347	442	829
348	444	828
349	445	827
350	446	826
351	448	824
352	449	823
353	450	822
354	451	820
355	453	819
356	454	818
357	455	817
358	457	816
359	458	815
360	459	814
361	461	812
362	462	811
363	463	810
364	465	809
365	466	808
366	467	806
367	469	805
368	470	804
369	471	803
370	473	801
371	474	800
372	475	799
373	476	798
374	478	797
375	479	796
376	481	794
377	482	793
378	483	792
379	484	791
380	486	789
381	487	788
382	488	787
383	490	786
384	491	785
385	492	784
386	494	782
387	495	781
388	496	780
389	497	778
390	499	777
391	500	776
392	502	775
393	503	774
394	505	773
395	506	772
396	508	771
397	509	770
398	510	769
399	511	767
400	513	766
401	514	765
402	515	764
403	517	763
404	518	761
405	519	760
406	520	758
407	522	757
408	523	756
409	525	755
410	526	754
411	527	752
412	528	751
413	529	750
414	531	748
415	532	747
416	533	745
417	534	744
418	535	743
419	537	741
420	538	740
421	539	738
422	540	737
423	541	735
424	543	734
425	544	733
426	545	732
427	546	731
428	548	729
429	549	728
430	550	726
431	551	725
432	552	724
433	554	722
434	555	721
435	556	720
436	558	718
437	559	717
438	560	716
439	561	715
440	563	713
441	564	712
442	565	711
443	566	709
444	568	708
445	569	707
446	570	705
447	571	704
448	573	703
449	574	702
450	575	700
451	577	699
452	578	698
453	579	697
454	581	696
455	582	695
456	584	693
457	585	692
458	586	691
459	587	690
460	589	689
461	590	687
462	592	687
463	593	686
464	595	684
465	596	683
466	597	682
467	598	680
468	600	679
469	601	678
470	602	676
471	604	675
472	605	674
473	606	673
474	607	671
475	609	670
476	610	669
477	611	667
478	612	666
479	613	665
480	615	663
481	616	662
482	618	661
483	619	660
484	620	659
485	621	657
486	622	656
487	624	654
488	625	653
489	626	652
490	627	650
491	629	649
492	630	648
493	631	646
494	632	645
495	634	644
496	635	643
497	636	641
498	637	640
499	638	638
500	640	637
501	641	636
502	642	634
503	643	633
504	644	632
505	646	630
506	647	629
507	648	628
508	649	626
509	651	625
510	652	624
511	653	623
512	655	621
513	656	620
514	657	619
515	658	617
516	659	616
517	661	615
518	662	614
519	664	612
520	665	611
521	666	610
522	667	609
523	669	607
524	670	606
525	671	605
526	672	603
527	674	602
528	675	601
529	676	600
530	678	599
531	679	597
532	680	596
533	681	595
534	682	593
535	684	592
536	685	590
537	686	589
538	687	588
539	689	587
540	690	585
541	691	584
542	692	583
543	694	581
544	695	580
545	696	579
546	698	578
547	699	577
548	700	575
549	702	574
550	703	573
551	704	571
552	705	570
553	706	569
554	708	567
555	709	566
556	710	565
557	712	564
558	713	562
559	714	561
560	716	560
561	717	559
562	718	557
563	720	556
564	721	555
565	722	554
566	723	552
567	725	551
568	726	550
569	727	548
570	729	547
571	730	546
572	731	545
573	733	544
574	734	542
575	735	541
576	736	540
577	738	538
578	739	537
579	740	536
580	741	534
581	743	533
582	744	532
583	745	531
584	746	529
585	748	528
586	749	527
587	750	525
588	751	524
589	752	523
590	754	521
591	755	520
592	756	519
593	758	518
594	759	516
595	760	515
596	761	514
597	762	512
598	763	511
599	765	510
600	766	508
601	767	507
602	769	506
603	770	505
604	771	503
605	773	502
606	774	501
607	775	500
608	777	499
609	778	497
610	780	496
611	781	495
612	782	494
613	784	492
614	785	491
615	786	490
616	787	489
617	789	487
618	790	486
619	791	485
620	793	484
621	794	482
622	795	481
623	796	480
624	798	478
625	799	477
626	800	476
627	801	474
628	803	473
629	804	472
630	805	471
631	806	469
632	808	468
633	809	467
634	810	465
635	811	464
636	813	463
637	814	462
638	815	460
639	816	459
640	818	458
641	819	456
642	820	455
643	821	454
644	823	453
645	824	451
646	825	450
647	827	449
648	828	447
649	829	446
650	830	445
651	831	444
652	833	442
653	834	441
654	835	440
655	836	438
656	837	437
657	839	436
658	840	435
659	842	433
660	843	432
661	844	431
662	846	430
663	847	428
664	848	427
665	849	426
666	851	424
667	852	423
668	853	422
669	854	421
670	856	419
671	857	418
672	858	417
673	859	415
674	860	414
675	862	413
676	863	411
677	864	410
678	865	409
679	866	407
680	867	406
681	869	405
682	870	404
683	872	402
684	873	401
685	874	400
686	875	399
687	876	397
688	878	396
689	879	395
690	880	393
691	882	392
692	883	391
693	884	389
694	885	388
695	886	387
696	888	386
697	889	384
698	890	383
699	892	382
700	893	381
701	894	379
702	895	378
703	897	377
704	898	375
705	899	374
706	900	373
707	902	372
708	903	370
709	904	369
710	906	368
711	907	367
712	909	365
713	910	364
714	911	363
715	913	362
716	914	360
717	915	359
718	916	358
719	918	357
720	919	355
721	920	354
722	921	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	929	345
729	930	344
730	931	342
731	932	341
732	934	340
733	935	338
734	936	337
735	938	336
736	939	335
737	940	333
738	941	332
739	942	331
740	944	330
741	945	328
742	946	327
743	947	326
744	949	324
745	950	323
746	951	322
747	953	321
748	954	319
749	955	318
750	957	317
751	958	316
752	960	315
753	961	313
754	963	312
755	964	311
756	965	310
757	967	308
758	968	307
759	970	306
760	971	305
761	973	303
762	974	302
763	976	301
764	977	300
765	978	298
766	980	297
767	981	296
768	983	295
769	984	294
770	985	292
771	987	291
772	988	290
773	989	289
774	991	287
775	992	286
776	993	285
777	995	283
778	996	282
779	997	281
780	999	280
781	1000	278
782	1001	277
783	1003	276
784	1004	275
785	1005	273
786	1006	272
787	1008	271
788	1009	269
789	1010	268
790	1012	267
791	1013	266
792	1014	264
793	1016	263
794	1017	262
795	1018	261
796	1019	259
797	1021	258
798	1022	257
799	1023	255
800	1024	254
801	1026	253
802	1027	252
803	1028	250
804	1030	249
805	1031	248
806	1032	247
807	1034	245
808	1035	244
809	1037	243
810	1038	242
811	1039	240
812	1041	239
813	1042	238
814	1043	236
815	1045	235
816	1046	234
817	1047	233
818	1048	231
819	1049	230
820	1051	229
821	1052	227
822	1053	226
823	1055	225
824	1056	224
825	1058	222
826	1059	221
827	1060	220
828	1062	219
829	1063	217
830	1064	216
831	1066	215
832	1067	213
833	1068	212
834	1069	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1076	204
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1082	198
845	1083	197
846	1084	195
847	1086	194
848	1087	193
849	1088	192
850	1089	190
851	1091	189
852	1092	188
853	1093	186
854	1094	185
855	1096	184
856	1097	183
857	1098	181
858	1100	180
859	1101	179
860	1103	178
861	1104	176
862	1105	175
863	1107	174
864	1108	173
865	1109	171
866	1111	170
867	1112	169
868	1113	167
869	1115	166
870	1116	165
871	1117	164
872	1119	162
873	1120	161
874	1121	160
875	1122	158
876	1124	157
877	1125	156
878	1126	155
879	1128	153
880	1129	152
881	1131	151
882	1132	150
883	1133	148
884	1135	147
885	1136	146
886	1137	144
887	1139	143
888	1140	142
889	1141	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1148	134
895	1149	133
896	1150	132
897	1152	130
898	1153	129
899	1154	128
900	1156	127
901	1157	125
902	1158	124
903	1160	123
904	1161	121
905	1162	120
906	1164	119
907	1165	118
908	1166	116
909	1168	115
910	1169	114
911	1170	112
912	1171	111
913	1173	110
914	1174	109
915	1175	107
916	1177	106
917	1178	105
918	1180	104
919	1182	102
920	1183	101
921	1185	100
922	1186	98
923	1188	97
924	1189	96
925	1190	95
926	1192	93
927	1193	92
928	1194	91
929	1196	90
930	1197	88
931	1199	87
932	1200	86
933	1202	84
934	1203	83
935	1205	82
936	1206	81
937	1208	79
938	1209	78
939	1211	77
940	1212	76
941	1214	74
942	1216	73
943	1217	72
944	1218	70
945	1220	69
946	1221	68
947	1222	67
948	1223	65
949	1225	64
950	1226	63
951	1227	61
952	1229	60
953	1230	59
954	1231	58
955	1233	56
956	1234	55
957	1235	54
958	1237	52
959	1238	51
960	1239	50
961	1241	49
962	1242	47
963	1243	46
964	1244	45
965	1246	43
966	1247	42
967	1248	41
968	1250	39
969	1251	38
970	1252	37
971	1254	36
972	1255	34
973	1256	33
974	1257	32
975	1259	30
976	1260	29
977	1261	28
978	1262	27
979	1264	25
980	1265	24
981	1266	23
982	1267	21
983	1269	20
984	1270	19
985	1271	18
986	1272	16
987	1274	15
988	1275	14
989	1276	12
990	1277	11
991	1278	10
992	1280	9
993	1281	7
994	1282	6
995	1283	5
996	1285	3
997	1286	2
998	1287	1
999	1289	0
